"","Team","Opponent","Team_Outcome","Winner","OFF_Pas_Comp","OFF_pass_ATT","OFF_pass_CMP_prc","OFF_Pas_AVG","OFF_pass_YDS_pr_G","OFF_pass_TD","OFF_pass_INT","OFF_pass_SACK","OFF_pass_RTG","OFF_rush_ATT","OFF_rush_AVG","OFF_rush_YDS_pr_G","OFF_rush_TD","OFF_rush_FUM","OFF_Turnovers","DEF_Pas_Comp","DEF_pass_ATT","DEF_pass_CMP_prc","DEF_Pas_AVG","DEF_pass_YDS_pr_G","DEF_pass_TD","DEF_pass_INT","DEF_pass_SACK","DEF_pass_RTG","DEF_rush_ATT","DEF_rush_AVG","DEF_rush_YDS_pr_G","DEF_rush_TD","DEF_rush_FUM","DEF_Turnovers"
"1","Houston","Kansas City","Loss","Home",0.891575368341519,0.845999498369701,1.05421686746988,1.1,0.901002911679068,0.790513833992095,0.851063829787234,2.00653594771242,1.04481792717087,0.847260007773028,0.933333333333333,0.783690987124464,0.75,3.85714285714286,3,1.09770642201835,0.977188480182492,1.12218649517685,1.14285714285714,1.11492281303602,1.11560693641618,0.186915887850467,1.10362694300518,1.26874279123414,1.13569543912552,1.08695652173913,1.25061830173124,1.6625,1.85714285714286,1
"2","Seattle","Atlanta","Win","Away",0.970716264345073,0.902388903159517,1.07550077041602,1.02666666666667,0.921081476068688,1.51497005988024,1.19178082191781,1.1498127340824,1.13340448239061,1.00274187230709,1.2972972972973,1.31590181430096,1.1625,1,1.05555555555556,1.06503759398496,1.09093244284613,0.976573938506589,0.922077922077922,1.00278648554511,0.735,1.27397260273973,1.53475935828877,0.892537313432836,1.02764976958525,0.886363636363636,0.911848341232227,1.21505376344086,0.65,0.76
"3","New York Jets","Buffalo","Loss","Home",0.69685192382433,0.833333333333333,0.835260115606936,0.772151898734177,0.602686461647225,0.416666666666667,1.33333333333333,1.54335260115607,0.705772811918063,0.987174504469491,0.953488372093023,0.955332725615314,0.56989247311828,0.212121212121212,0.324324324324324,1.18918918918919,1.11672016340823,1.06481481481481,1.10144927536232,1.24820466786355,1.36054421768707,0.8375,0.757085020242915,1.13199105145414,1.05557670346403,0.829787234042553,0.882017900732303,0.84251968503937,2.07692307692308,1.72222222222222
"4","Chicago","Detroit","Win","Away",1.04237288135593,1.03811598148652,1.00467289719626,0.864864864864865,0.892688679245283,1.08125,1.25,0.853479853479854,0.942453854505972,1.04913043478261,1.075,1.12376779846659,0.73,0,0.184210526315789,0.93240388677651,1.01160429358863,0.921397379912664,0.845238095238095,0.830758174631692,0.686695278969957,1.42553191489362,1.62142857142857,0.823000898472597,0.91875,0.911111111111111,0.853874538745387,0.401197604790419,2.85714285714286,2.4
"5","Green Bay","Minnesota","Win","Away",1.09953271028037,1.05483769303498,1.04302670623145,1,1.06702523789822,1.37558685446009,0.379310344827586,0.554166666666667,1.15809893307468,0.970477171301064,0.979591836734694,0.944405837387074,0.833333333333333,0.35,0.346153846153846,0.926320461606747,0.968529411764706,0.956259426847662,0.923076923076923,0.854028804982484,0.85,0.720430107526882,1.81632653061224,0.95625,0.813333333333333,1.02222222222222,0.839020771513353,0.884955752212389,1,0.894736842105263
"6","Miami","New England","Loss","Home",1.27988505747126,1.22222222222222,1.04702194357367,1.01428571428571,1.26414027149321,2.88679245283019,0.720430107526882,0.969162995594714,1.22946544980443,0.86267047256581,0.869565217391304,0.742601514108741,0.654135338345865,3.85714285714286,2.38461538461538,1.02902757619739,1.10205412455168,0.933234421364985,1.05333333333333,1.09900542495479,0.807142857142857,1,1.90714285714286,0.944629014396456,0.88144858216604,1.02222222222222,0.895331325301205,0.934579439252336,1,1
"7","Philadelphia","Washington","Loss","Home",0.874540253371475,0.993145267598207,0.88062015503876,1,0.972887483054677,1.58064516129032,1.29032258064516,1.31948881789137,0.942786069651741,1.00241254523522,1.275,1.26666666666667,0.775,Inf,6.83333333333333,1.07903454803597,1.00393105533716,1.07511737089202,1.21212121212121,1.22979797979798,1.19285714285714,0.43010752688172,1.04778156996587,1.22300469483568,1.13796992481203,1,1.13155555555556,1.6625,0.35,0.384615384615385
"8","Las Vegas","Carolina","Win","Away",0.971694127587664,1,0.972543352601156,1.04,1.05930807248764,1.61682242990654,0.726027397260274,0.759090909090909,1.09297297297297,1.12131782945736,1,1.11039558417663,1,1.53846153846154,1.33333333333333,0.91743119266055,0.974505017629509,0.941176470588235,1.07246376811594,1.06974824597606,1.03592814371257,1.42553191489362,0.705555555555556,0.97327852004111,1.07420634920635,1,1.06234203875316,1.42990654205607,0,0.173913043478261
"9","Indianapolis","Jacksonville","Loss","Home",0.983381803074367,0.916383590279592,1.0731319554849,1.1875,1.12105490704712,1,0.626168224299065,0.553359683794466,1.16486161251504,1.3187998124707,0.891304347826087,1.17604912998976,2,1,0.785714285714286,0.971950701232469,1.02786836643937,0.945558739255014,0.902439024390244,0.894503873109554,0.668181818181818,1.36986301369863,1.89166666666667,0.841269841269841,0.7771875,0.822222222222222,0.639366827253957,0.764285714285714,1.53846153846154,1.5
"10","Cleveland","Baltimore","Loss","Home",1.21158536585366,1.22480620155039,0.988993710691824,1.02777777777778,1.28882521489971,1.08125,0.791044776119403,0.690140845070423,1.01472134595163,0.926047904191617,0.886792452830189,0.818335208098988,0.863945578231293,0.606060606060606,0.648648648648649,0.922583233052547,0.941038351160971,0.981538461538461,1.10769230769231,1.04731182795699,1.31292517006803,1.26415094339623,0.95,1.05524861878453,1.0797520661157,0.977272727272727,1.05932203389831,1.3375,0.818181818181818,0.837837837837838
